claim_id,status,claim,evidence_files,metric,models,seeds,protocol_version,boundary
C01,VERIFIED,The locked benchmark contains 264 evidence families and 2112 items; Track R has 1584 items and Track I has 528.,manifests/candidate_summary.json;manifests/families_candidate.jsonl;manifests/item_manifest.jsonl,exact manifest counts,N/A,N/A,real_tsqa_v1.0 / 9369c5678c6f834455d2b2cea04da923d4e3e97b4b45ac16cabc2a368aac028c,Construction claim only; not model performance.
C02,VERIFIED,All 29 locked benchmark validity gates pass.,validity/overall_validity.json;validity/formal_candidate_validation.json,gate pass count,N/A,N/A,real_tsqa_v1.0 / 9369c5678c6f834455d2b2cea04da923d4e3e97b4b45ac16cabc2a368aac028c,Engineering and measurement checks do not establish model ability.
C03,VERIFIED,Llama-3.2-3B shows a positive P-R difference on Track R in interface B.,diagnostic/predictions/llama32_3b_s7.jsonl;diagnostic/predictions/llama32_3b_s17.jsonl;diagnostic/predictions/llama32_3b_s27.jsonl;tables/llama32_3b_pr_paired_bootstrap.csv,"Track R domain-macro accuracy: P=.5014 R=.4534 delta=.0480 CI95=[.0187,.0813]",llama32_3b,7;17;27,real_tsqa_v1.0 / 9369c...,Does not extend to Track I or prove understanding.
C04,VERIFIED,Gemma-2-2B shows a positive P-R difference on Track R in controlled readout A but not in supervised QA B.,diagnostic/readout/gemma2_2b_s7.jsonl;diagnostic/readout/gemma2_2b_s17.jsonl;diagnostic/readout/gemma2_2b_s27.jsonl;diagnostic/predictions/gemma2_2b_s7.jsonl;diagnostic/predictions/gemma2_2b_s17.jsonl;diagnostic/predictions/gemma2_2b_s27.jsonl;tables/gemma2_2b_readout_pr_paired_bootstrap.csv;tables/gemma2_2b_pr_paired_bootstrap.csv,"A Track R delta=.0866 CI95=[.0277,.1487]; B Track R delta=.0073 CI95=[-.0269,.0437]",gemma2_2b,7;17;27,real_tsqa_v1.0 / 9369c... + A addendum / 63af96...,Same benchmark but different trained heads; no causal mechanism claim.
C05,VERIFIED,Llama-3.1-8B has opposite Track R P-R directions in A and B on the same locked sample.,diagnostic/readout/llama31_8b_s7.jsonl;diagnostic/readout/llama31_8b_s17.jsonl;diagnostic/readout/llama31_8b_s27.jsonl;diagnostic/predictions/llama31_8b_s7.jsonl;diagnostic/predictions/llama31_8b_s17.jsonl;diagnostic/predictions/llama31_8b_s27.jsonl;tables/llama31_8b_readout_pr_paired_bootstrap.csv;tables/llama31_8b_pr_paired_bootstrap.csv,"A delta=-.0651 CI95=[-.1271,-.0040]; B delta=.0494 CI95=[.0093,.0907]",llama31_8b,7;17;27,real_tsqa_v1.0 / 9369c... + A addendum / 63af96...,Interface separation; B FCJS=0 for P and R.
C06,VERIFIED,Qwen3-8B-Base does not show a general positive P-R item-accuracy difference in A or B.,diagnostic/readout/qwen3_8b_base_s7.jsonl;diagnostic/readout/qwen3_8b_base_s17.jsonl;diagnostic/readout/qwen3_8b_base_s27.jsonl;diagnostic/predictions/qwen3_8b_base_s7.jsonl;diagnostic/predictions/qwen3_8b_base_s17.jsonl;diagnostic/predictions/qwen3_8b_base_s27.jsonl;tables/qwen3_8b_base_readout_pr_paired_bootstrap.csv;tables/qwen3_8b_base_pr_paired_bootstrap.csv,A Track R delta=-.0249 CI crosses 0; B Track R delta=-.0110 CI crosses 0,qwen3_8b_base,7;17;27,real_tsqa_v1.0 / 9369c... + A addendum / 63af96...,A non-detection is not evidence that representations contain no temporal information.
C07,VERIFIED,Native free generation and constrained choice scoring differ materially and must be reported separately.,native/qwen3_8b_base_free.jsonl;native/qwen3_8b_base_constrained.jsonl;native/llama31_8b_free.jsonl;native/llama31_8b_constrained.jsonl;native/gemma2_9b_free.jsonl;native/gemma2_9b_constrained.jsonl;native/deepseek_v2_lite_free.jsonl;native/deepseek_v2_lite_constrained.jsonl;native/olmo2_7b_free.jsonl;native/olmo2_7b_constrained.jsonl;tables/native_core_all_models.csv,VOR and Track R domain-macro accuracy,qwen3_8b_base;llama31_8b;gemma2_9b;deepseek_v2_lite;olmo2_7b,20260918,real_tsqa_v1.0 / 9369c...,Constrained scoring uses candidate likelihoods; it is not free generation.
C08,VERIFIED,Gemma-2-9B and DeepSeek-V2-Lite free generation yield zero strictly parseable outputs under the locked parser.,native/gemma2_9b_free.jsonl;native/deepseek_v2_lite_free.jsonl;tables/gemma2_9b_free.csv;tables/deepseek_v2_lite_free.csv,VOR=0/1008,gemma2_9b;deepseek_v2_lite,20260918,real_tsqa_v1.0 / 9369c...,Output-interface failure; do not call this zero temporal ability.
C09,VERIFIED,Pretraining effects are selective across models tasks and interfaces rather than universally positive.,tables/interface_a_complete_models.csv;tables/interface_b_complete_models.csv;tables/same_sample_interface_comparison.csv,"paired P-R domain-macro deltas and 2,000-draw group-cluster CI",A/B: all 10 prespecified models,7;17;27,real_tsqa_v1.0 / 9369c...,"Complete locked matrix supports selectivity, not a universal positive pretraining effect or shared causal mechanism."
C10,VERIFIED,"Gemma-2-9B controlled readout shows a positive P-R difference on Track I and target-update success, while Track R CI crosses zero.",diagnostic/readout/gemma2_9b_s7.jsonl;diagnostic/readout/gemma2_9b_s17.jsonl;diagnostic/readout/gemma2_9b_s27.jsonl;tables/gemma2_9b_readout_pr_paired_bootstrap.csv,"Track I delta=.1687 CI95=[.0762,.2671]; TUS delta=.1722 CI95=[.0919,.2622]; Track R delta=.0283 CI crosses 0",gemma2_9b,7;17;27,real_tsqa_v1.0 / 9369c... + A addendum / 63af96...,Controlled linear readout result; the separate B result is reported in C12.
