claim_id,status,claim,raw_result,metric,model_scope,seed_scope,protocol_version,paper_use
F1,verified,"Language-pretrained initialization improves the matched LoRA forecasting runs","results/icassp/E1_summary.json","test MSE and parse coverage","Qwen3-8B on synthetic sine/ETTm1/ETTh1","7/17/27","forecasting-e1","Paper Table 1"
F1_FULL,verified_with_variance,"Pretrained Qwen3-0.6B full fine-tuning has lower MSE in all runs but the random branch is highly variable","results/iclr/fullft_3seeds/qwen3_0.6b/{7,17,27}/{pretrained,random}/metrics.json","test MSE; ratio of means 20.9x","Qwen3-0.6B ETTm1","7/17/27","forecasting-fullft","Prose with variability caveat"
SCALE_SMALL,verified_existing,"Recognition/generation measurements for GPT and small Qwen checkpoints","results/iclr/AGGREGATE.json","recognition accuracy; parse rate; generation/oracle MSE","DistilGPT2/GPT-2/Qwen3-0.6B/Qwen3-1.7B","source per-model seeds","scale-v1","Paper scale and E3 tables"
SCALE_8B,verified,"Official 8B recognition and expanded native generation","results/iclr/probe_official/qwen3_8b/seed*/summary.json; results/iclr/gen_scale/qwen3_8b_official.json","recognition accuracy; parse rate; generation/oracle MSE","official Qwen3-8B-Base","7/17/27","official-8b-audit","Replaces custom Wave-MoE 8B numbers"
LAYER,verified_existing,"Layerwise accessibility pattern","results/iclr/layerwise/qwen3_0.6b*/summary.json","five-way probe accuracy by layer","Qwen3-0.6B pretrained/random","source seeds","layerwise-v1","Figure 1; plotted PDF used directly, no synthetic error bars"
ASYM,verified_existing,"Recognition and generation sweeps over context/noise/horizon","results/iclr/asymmetry/qwen3_0.6b/summary.json","recognition accuracy; parse rate; generation/oracle MSE","Qwen3-0.6B","source seeds","asymmetry-v1","Paper sweep table"
E4_BAL,verified,"Balanced two-class OOD routing diagnostic","results/iclr/e4_balanced_full/qwen3_8b_official.json","balanced accuracy; macro-F1; routed MSE; class recall","official Qwen3-8B-Base plus listed baselines","7/17/27","e4-balanced-full","Paper E4 table; class-balanced diagnostic only"
E4_3CLASS,verified_supplement,"Natural local-source three-class OOD diagnostic","results/iclr/e4_balanced3_natural/qwen3_8b_official.json","balanced accuracy; macro-F1; routed MSE; class recall","official Qwen3-8B-Base plus listed baselines","7/17/27","e4-balanced3-natural","Candidate supplement evidence"
REAL_ROUTING,verified_boundary,"Real-data routing is mixed across datasets","results/iclr/realdata_3seeds/qwen3_8b.json; results/iclr/realdata_full_baselines/qwen3_8b_official.json","routed MSE and paired bootstrap differences","official Qwen3-8B-Base; 15 datasets","router seeds 7/17/27","realdata-router-audit","Seven nominal gains/seven losses/one inconclusive versus feature router; no multiplicity correction"
GEN_PRECISION,verified,"Generation gap persists across 1/2/3 decimal serialization","results/iclr/serialization/qwen3_8b_official.json","parse rate and generation/oracle MSE","official Qwen3-8B-Base","source evaluation seed","serialization-audit","Paper E3c; limited to numeric precision"
PATCH_ROUTING,verified_existing,"Patch routing helps regime windows and is mixed elsewhere","results/icassp/patch_routing/summary.json; results/icassp/patch_routing/llm_summary.json","normalized MSE","Qwen3-8B protocol used by E6","source seed","patch-routing-v1","Paper E6 with limitations"
PREPOST,verified_existing,"Forecast fine-tuning changes representation geometry while retaining probe separability","results/iclr/prepost_ft/ettm1_seed7/summary.json","probe accuracy; mean absolute difference; linear CKA; direction cosine","Qwen3-8B checkpoint used in source","7","prepost-v1","Appendix only; checkpoint identity stated with source"
PARSER_AUDIT,verified,"Legacy and corrected numeric parsers agree on audited official-8B completions","results/iclr/parser_audit/qwen3_8b_official.json","parsed-window agreement and large-number count","official Qwen3-8B-Base","7/17/27","numeric-parser-audit","Appendix parser statement"
READOUT,verified,"Mean pooling does not reduce official-8B recognition relative to last token","results/iclr/readout_sanity/qwen3_8b_official.json","recognition accuracy by pooling/readout","official Qwen3-8B-Base","7","readout-sanity","Available appendix evidence"
RANDOM_BPE,verified_existing,"Random-BPE numeric generation degenerates under the tested tokenizer while the paired recognition result is recorded separately","results/formal_match/random_bpe/metrics.json; results/formal_match/random_bpe/predictions.npz","parse coverage; generation error; probe accuracy","Qwen checkpoint used in source","source seed","random-bpe-v1","Appendix; no broad tokenizer-causal claim"
BOOTSTRAP,verified_existing,"Paired uncertainty intervals for recognition/generation/routing","results/iclr/paired_bootstrap/qwen3_8b_official.json; results/iclr/bootstrap_window/*.json","paired differences and percentile intervals","models named by each file","file-specific seeds/windows","bootstrap-audit","Use only intervals linked to matching result version"
L1_PERIOD,verified,"Dominant period is more linearly readable in final pretrained representations","results/temporal_abstraction/primitives/probes_*_s*.csv","balanced accuracy; pretrained 0.7151 vs random 0.3639; improvement +0.3512","10-model suite","7/17/27","level1-v2 metric orientation","Main quantitative evidence"
L1_ANOMALY,verified,"Anomaly presence is more linearly readable in final pretrained representations","results/temporal_abstraction/primitives/probes_*_s*.csv","balanced accuracy; pretrained 0.7544 vs random 0.5991; improvement +0.1553","10-model suite","7/17/27","level1-v2 metric orientation","Main quantitative evidence"
L1_LOCAL,verified,"Local dependence class is more linearly readable in final pretrained representations","results/temporal_abstraction/primitives/probes_*_s*.csv","balanced accuracy; pretrained 0.4604 vs random 0.3313; improvement +0.1291","10-model suite","7/17/27","level1-v2 metric orientation","Main quantitative evidence"
L1_NOISE,verified,"Noise level is more linearly readable in final pretrained representations","results/temporal_abstraction/primitives/probes_*_s*.csv","balanced accuracy; pretrained 0.5423 vs random 0.4356; improvement +0.1067","10-model suite","7/17/27","level1-v2 metric orientation","Main quantitative evidence"
